year, name,zone,tech,value
2022,stor_cap_exo,1,33,20
2020,ev_cap_exo,1,50,1156
2021,ev_cap_exo,1,50,1156
2022,ev_cap_exo,1,50,1156
2023,ev_cap_exo,1,50,1156
2024,ev_cap_exo,1,50,1156
2025,ev_cap_exo,1,50,1156
2026,ev_cap_exo,1,50,1156
2027,ev_cap_exo,1,50,1156
2028,ev_cap_exo,1,50,1156
2029,ev_cap_exo,1,50,1156
2030,ev_cap_exo,1,50,1156
2031,ev_cap_exo,1,50,1156
2032,ev_cap_exo,1,50,1156
2033,ev_cap_exo,1,50,1156
2034,ev_cap_exo,1,50,1156
2035,ev_cap_exo,1,50,1156
2036,ev_cap_exo,1,50,1156
2037,ev_cap_exo,1,50,1156
2038,ev_cap_exo,1,50,1156
2039,ev_cap_exo,1,50,1156
2040,ev_cap_exo,1,50,1156
2041,ev_cap_exo,1,50,1156
2042,ev_cap_exo,1,50,1156
2043,ev_cap_exo,1,50,1156
2044,ev_cap_exo,1,50,1156
2045,ev_cap_exo,1,50,1156
2046,ev_cap_exo,1,50,1156
2047,ev_cap_exo,1,50,1156
2048,ev_cap_exo,1,50,1156
2049,ev_cap_exo,1,50,1156
2050,ev_cap_exo,1,50,1156
2020,ev_cap_exo,1,51,563
2021,ev_cap_exo,1,51,563
2022,ev_cap_exo,1,51,563
2023,ev_cap_exo,1,51,563
2024,ev_cap_exo,1,51,563
2025,ev_cap_exo,1,51,563
2026,ev_cap_exo,1,51,563
2027,ev_cap_exo,1,51,563
2028,ev_cap_exo,1,51,563
2029,ev_cap_exo,1,51,563
2030,ev_cap_exo,1,51,563
2031,ev_cap_exo,1,51,563
2032,ev_cap_exo,1,51,563
2033,ev_cap_exo,1,51,563
2034,ev_cap_exo,1,51,563
2035,ev_cap_exo,1,51,563
2036,ev_cap_exo,1,51,563
2037,ev_cap_exo,1,51,563
2038,ev_cap_exo,1,51,563
2039,ev_cap_exo,1,51,563
2040,ev_cap_exo,1,51,563
2041,ev_cap_exo,1,51,563
2042,ev_cap_exo,1,51,563
2043,ev_cap_exo,1,51,563
2044,ev_cap_exo,1,51,563
2045,ev_cap_exo,1,51,563
2046,ev_cap_exo,1,51,563
2047,ev_cap_exo,1,51,563
2048,ev_cap_exo,1,51,563
2049,ev_cap_exo,1,51,563
2050,ev_cap_exo,1,51,563
2020,ev_cap_exo,1,52,0
2021,ev_cap_exo,1,52,0
2022,ev_cap_exo,1,52,0
2023,ev_cap_exo,1,52,0
2024,ev_cap_exo,1,52,0
2025,ev_cap_exo,1,52,0
2026,ev_cap_exo,1,52,0
2027,ev_cap_exo,1,52,0
2028,ev_cap_exo,1,52,0
2029,ev_cap_exo,1,52,0
2030,ev_cap_exo,1,52,0
2031,ev_cap_exo,1,52,0
2032,ev_cap_exo,1,52,0
2033,ev_cap_exo,1,52,0
2034,ev_cap_exo,1,52,0
2035,ev_cap_exo,1,52,0
2036,ev_cap_exo,1,52,0
2037,ev_cap_exo,1,52,0
2038,ev_cap_exo,1,52,0
2039,ev_cap_exo,1,52,0
2040,ev_cap_exo,1,52,0
2041,ev_cap_exo,1,52,0
2042,ev_cap_exo,1,52,0
2043,ev_cap_exo,1,52,0
2044,ev_cap_exo,1,52,0
2045,ev_cap_exo,1,52,0
2046,ev_cap_exo,1,52,0
2047,ev_cap_exo,1,52,0
2048,ev_cap_exo,1,52,0
2049,ev_cap_exo,1,52,0
2050,ev_cap_exo,1,52,0
2020,ev_cap_exo,1,53,32
2021,ev_cap_exo,1,53,32
2022,ev_cap_exo,1,53,32
2023,ev_cap_exo,1,53,32
2024,ev_cap_exo,1,53,32
2025,ev_cap_exo,1,53,32
2026,ev_cap_exo,1,53,32
2027,ev_cap_exo,1,53,32
2028,ev_cap_exo,1,53,32
2029,ev_cap_exo,1,53,32
2030,ev_cap_exo,1,53,32
2031,ev_cap_exo,1,53,32
2032,ev_cap_exo,1,53,32
2033,ev_cap_exo,1,53,32
2034,ev_cap_exo,1,53,32
2035,ev_cap_exo,1,53,32
2036,ev_cap_exo,1,53,32
2037,ev_cap_exo,1,53,32
2038,ev_cap_exo,1,53,32
2039,ev_cap_exo,1,53,32
2040,ev_cap_exo,1,53,32
2041,ev_cap_exo,1,53,32
2042,ev_cap_exo,1,53,32
2043,ev_cap_exo,1,53,32
2044,ev_cap_exo,1,53,32
2045,ev_cap_exo,1,53,32
2046,ev_cap_exo,1,53,32
2047,ev_cap_exo,1,53,32
2048,ev_cap_exo,1,53,32
2049,ev_cap_exo,1,53,32
2050,ev_cap_exo,1,53,32
2020,ev_cap_exo,1,60,40
2021,ev_cap_exo,1,60,40
2022,ev_cap_exo,1,60,40
2023,ev_cap_exo,1,60,40
2024,ev_cap_exo,1,60,40
2025,ev_cap_exo,1,60,40
2026,ev_cap_exo,1,60,40
2027,ev_cap_exo,1,60,40
2028,ev_cap_exo,1,60,40
2029,ev_cap_exo,1,60,40
2030,ev_cap_exo,1,60,40
2031,ev_cap_exo,1,60,40
2032,ev_cap_exo,1,60,40
2033,ev_cap_exo,1,60,40
2034,ev_cap_exo,1,60,40
2035,ev_cap_exo,1,60,40
2036,ev_cap_exo,1,60,40
2037,ev_cap_exo,1,60,40
2038,ev_cap_exo,1,60,40
2039,ev_cap_exo,1,60,40
2040,ev_cap_exo,1,60,40
2041,ev_cap_exo,1,60,40
2042,ev_cap_exo,1,60,40
2043,ev_cap_exo,1,60,40
2044,ev_cap_exo,1,60,40
2045,ev_cap_exo,1,60,40
2046,ev_cap_exo,1,60,40
2047,ev_cap_exo,1,60,40
2048,ev_cap_exo,1,60,40
2049,ev_cap_exo,1,60,40
2050,ev_cap_exo,1,60,40
2020,ev_cap_exo,1,61,0
2021,ev_cap_exo,1,61,0
2022,ev_cap_exo,1,61,0
2023,ev_cap_exo,1,61,0
2024,ev_cap_exo,1,61,0
2025,ev_cap_exo,1,61,0
2026,ev_cap_exo,1,61,0
2027,ev_cap_exo,1,61,0
2028,ev_cap_exo,1,61,0
2029,ev_cap_exo,1,61,0
2030,ev_cap_exo,1,61,0
2031,ev_cap_exo,1,61,0
2032,ev_cap_exo,1,61,0
2033,ev_cap_exo,1,61,0
2034,ev_cap_exo,1,61,0
2035,ev_cap_exo,1,61,0
2036,ev_cap_exo,1,61,0
2037,ev_cap_exo,1,61,0
2038,ev_cap_exo,1,61,0
2039,ev_cap_exo,1,61,0
2040,ev_cap_exo,1,61,0
2041,ev_cap_exo,1,61,0
2042,ev_cap_exo,1,61,0
2043,ev_cap_exo,1,61,0
2044,ev_cap_exo,1,61,0
2045,ev_cap_exo,1,61,0
2046,ev_cap_exo,1,61,0
2047,ev_cap_exo,1,61,0
2048,ev_cap_exo,1,61,0
2049,ev_cap_exo,1,61,0
2050,ev_cap_exo,1,61,0
2020,ev_cap_exo,1,70,107
2021,ev_cap_exo,1,70,107
2022,ev_cap_exo,1,70,107
2023,ev_cap_exo,1,70,107
2024,ev_cap_exo,1,70,107
2025,ev_cap_exo,1,70,107
2026,ev_cap_exo,1,70,107
2027,ev_cap_exo,1,70,107
2028,ev_cap_exo,1,70,107
2029,ev_cap_exo,1,70,107
2030,ev_cap_exo,1,70,107
2031,ev_cap_exo,1,70,107
2032,ev_cap_exo,1,70,107
2033,ev_cap_exo,1,70,107
2034,ev_cap_exo,1,70,107
2035,ev_cap_exo,1,70,107
2036,ev_cap_exo,1,70,107
2037,ev_cap_exo,1,70,107
2038,ev_cap_exo,1,70,107
2039,ev_cap_exo,1,70,107
2040,ev_cap_exo,1,70,107
2041,ev_cap_exo,1,70,107
2042,ev_cap_exo,1,70,107
2043,ev_cap_exo,1,70,107
2044,ev_cap_exo,1,70,107
2045,ev_cap_exo,1,70,107
2046,ev_cap_exo,1,70,107
2047,ev_cap_exo,1,70,107
2048,ev_cap_exo,1,70,107
2049,ev_cap_exo,1,70,107
2050,ev_cap_exo,1,70,107
2020,ev_cap_exo,2,50,395
2021,ev_cap_exo,2,50,395
2022,ev_cap_exo,2,50,395
2023,ev_cap_exo,2,50,395
2024,ev_cap_exo,2,50,395
2025,ev_cap_exo,2,50,395
2026,ev_cap_exo,2,50,395
2027,ev_cap_exo,2,50,395
2028,ev_cap_exo,2,50,395
2029,ev_cap_exo,2,50,395
2030,ev_cap_exo,2,50,395
2031,ev_cap_exo,2,50,395
2032,ev_cap_exo,2,50,395
2033,ev_cap_exo,2,50,395
2034,ev_cap_exo,2,50,395
